content|competent|priority
i bought a product, could I modify my fucking purchase?|change_order|high_priority
ask an agent where to notify fucking problems paying, please|payment_issue|medium_priority
could u ask an agent how to notify a fucking issue making a payment, please?|payment_issue|high_priority
the event was cancelled and i want to obtain a fucking reimbursement, please|get_refund|standard_priority
please, could u show me the fucking phone number of client service?|contact_customer_service|high_priority
can you tell me how to track my fucking sdhipment?|track_order|medium_priority
please, ask an agent to inform of a fucking issue with my payment|payment_issue|medium_priority
please, ask an agent where i could inform of fucking problems making a payment|payment_issue|high_priority
I want a fuckimg user account and I'd like to open one|create_account|standard_priority
i need a fucking reimbursement, can i request one, please?|get_refund|high_priority
could u ask an agent where i can update my fucking shipping address?|change_shipping_address|high_priority
ask an agent how to report fucking problems paying|payment_issue|medium_priority
please, I wanna know where I can change my fucking order|change_order|standard_priority
polease, i want to know about modifying my fucking order|change_order|high_priority
i wanna change my fucking order, could you tell me how I can do it, please?|change_order|high_priority
I've got no fucking user account, can you open one?|create_account|standard_priority
how can I solve fucking payment issues?|payment_issue|medium_priority
my fucking profile's beewn hacked and I would like to get it back|recover_password|standard_priority
I want to know the fucking status of my reimbursement and I would like to track it|track_refund|standard_priority
i wanna view the fucking options for delivery, what can i do, please?|delivery_options|high_priority
tell me if I could register several fucking profiles with the same email address, please|create_account|medium_priority
i need information and id like to speak with fucking client service|contact_customer_service|high_priority
ask an agent if I could see the fuckig cancdllation fee|check_cancellation_fee|medium_priority
i wanna request some fucking bill , can you give me some information?, please|get_invoice|high_priority
can you ask an agent how I can inform of fucking problems with my payment, please?|payment_issue|medium_priority
could u ask an agent how to report fucking problems paying?|payment_issue|high_priority
I do not understand you, help me contact a fucking person, please|contact_human_agent|standard_priority
ask an agent if I can reset my fucking password|recover_password|medium_priority
can u ask an agent how i can see their fucking refund policy, please?|check_refund_policy|high_priority
please, ask an agent where to report fucking issues paying|payment_issue|medium_priority
do you mind asking an agent where I can see a fucking invoice, please?|get_invoice|standard_priority
please , ask an agent where to notify fucking issues with my payment|payment_issue|medium_priority
i want a fucking user account, how can i create one?|create_account|high_priority
please, could you ask an agent for information about their fucking reimbursement policy?|check_refund_policy|standard_priority
you ar not helping , could you contact a fucking human agent?|contact_human_agent|high_priority
can u ask an agent if i can notify a fucking problem paying, please?|payment_issue|high_priority
please, show me the fucking email address to contact customer support|contact_customer_service|medium_priority
I'd like to inform of fucking problems paying|payment_issue|medium_priority
tell me if I can get a fucking bill|get_invoice|standard_priority
the game was postponed and I'd like to get a fucking refund, please|get_refund|standard_priority
can you ask an agent if I could solve fucking payment issues?|payment_issue|medium_priority
how could I view your fucking payment options?|check_payment_methods|medium_priority
i do not know how to see the fucking withdrawal penalty|check_cancellation_fee|high_priority
I can't find my fucking invoice, what do I have to do to see it?|check_invoices|standard_priority
how do I inform of fucking problems paying?|payment_issue|medium_priority
I would like to lodge a fucking complaint for a servioce|complaint|standard_priority
the game was postponed, could I obtain a fucking refund, pleased?|get_refund|standard_priority
can you ask an agent how I can check the fucking cancellation penalties, please?|check_cancellation_fee|medium_priority
I can't find my fucking bills, can I check them?|check_invoices|standard_priority
i havent got a fucking account, help me register|create_account|high_priority
could u ask an agent if I could see a fucking inovice, please?|get_invoice|high_priority
ask an agent where to check my fucking invoices, please|check_invoices|medium_priority
i have no fucking user account, could u help me?|create_account|high_priority
whats the fucking mail address to contact customer service?|contact_customer_service|medium_priority
ive got no fucking online account, open one , please|create_account|high_priority
please , ask an agent how to inform of a fucking problem payinh|payment_issue|medium_priority
can i see some fucking invoices?|get_invoice|high_priority
I'm discontent with the service, could you lodge a fucking complaint, please?|complaint|standard_priority
please, do you mind asking an agent how I can change my fucking order?|change_order|standard_priority
can u ask an agent how to inform of fucking problems paying, please?|payment_issue|high_priority
ask an agent how i can inform of a fuckinng problem with my payment, please|payment_issue|high_priority
i want to know what the fucking free phone number of customer support is|contact_customer_service|high_priority
I want information, I need help speaking with fucking Client Service|contact_customer_service|standard_priority
please, can u ask an agent if i can solve a fucking issue with my payment?|payment_issue|high_priority
please, ask an agent if i can check my fucking invoice|check_invoices|high_priority
I haven't got a fucking prfoile, I need help creating one, please|create_account|standard_priority
I would like to speak with fucking someone|contact_human_agent|medium_priority
I don't know anything about your fucking reimbursement policy and I'd like to know about it|check_refund_policy|standard_priority
ask an agent what the fucking phone number of Customer Service is, please|contact_customer_service|medium_priority
please, i want to know if I can request some fucking bills|get_invoice|high_priority
ask an agent to change to another fucking user account, please|switch_account|medium_priority
please, can u ask an agent where i can obtain a fucking reimbursement?|get_refund|high_priority
can you tell me if i can register several fuckingaccounts with a single email, please?|create_account|high_priority
i have no fucking shipping address, what should i do to set one up?|set_up_shipping_address|high_priority
please, ask an agent where i could create a fucking profile|create_account|high_priority
can you show me the fucking mail address of Client Service?|contact_customer_service|medium_priority
i would like to see a fucking bill, can you show me some information?|get_invoice|high_priority
I can't understand you, help me talk to a fucking human, please|contact_human_agent|standard_priority
i'd like to get some fucking invoices, could you tell me how to do it?|get_invoice|high_priority
can you ask an agent how to solve fucking problems paying?|payment_issue|medium_priority
could u ask an agent how i could solve fucking payment issues, please?|payment_issue|high_priority
I wanna know how I can obtain a fucking invoice, please|get_invoice|standard_priority
please, ask an agent where i can write a fucking comment for a service|review|high_priority
the show was postponed and I would like to obtain a fucking reimbursement, please|get_refund|standard_priority
could you ask an agent how I could view their fucking money back guarantee, please?|check_refund_policy|medium_priority
please, could you show me the fucking phone number of Customer Service?|contact_customer_service|medium_priority
I need information, what can I do to send an email to fucking Client Service?|contact_customer_service|standard_priority
i cant understand you, what should i do to contact a fucking human agent?|contact_human_agent|high_priority
I want to modify my fucking order, can you tell me how I can do it?|change_order|standard_priority
please, can u ask an agent what the fucking phone number of Customer Service is?|contact_customer_service|high_priority
could you ask an agent how to see my fucking invoices?|check_invoices|standard_priority
youre not helping, talk to fucking someone, pleased|contact_human_agent|medium_priority
please, can u ask an agent to give me information about their fucking money back policy?|check_refund_policy|high_priority
you aren't helping, how do I speak with a fucking human agent?|contact_human_agent|standard_priority
can you ask an agent what my package of ym fucking shipment is, please ?|track_order|medium_priority
could u ask an agent how i can inform of a fucking problem with my payment, please?|payment_issue|high_priority
please, can u ask an agent where i could write a fucking comment?|review|high_priority
help me send an email to fucking customer service|contact_customer_service|medium_priority
help me talk to fucking customer service, please|contact_customer_service|medium_priority
can you tell me if i can create more than one fucking user account with the same email?|create_account|high_priority
could u check the fucking delivery options, please?|delivery_options|high_priority
how do I solve a fucking problem paying?|payment_issue|standard_priority
could you ask an agent if I could see some fucking invoices?|get_invoice|standard_priority
ask an agent where to notify fucking issues paying, please|payment_issue|medium_priority
can you ask an agent if I could see my fucking bill ?|check_invoices|standard_priority
ask an agent to find information about the fucking cancellation fees, please|check_cancellation_fee|medium_priority
can u show me the fucking email address of the Client Service, please?|contact_customer_service|high_priority
i would like to request information about changing my fucking order|change_order|high_priority
id like information and i wanna call fucking customer support|contact_customer_service|high_priority
could u ask an agent where i could see my fucking invoice?|check_invoices|high_priority
the fucking game was postponed and id like to request a reimbursement, please|get_refund|standard_priority
could you ask an agent if I can obtain some fucking inovices?|get_invoice|medium_priority
I do not like the service, how can I lodge a fucking complaint  ?|complaint|standard_priority
could you tell me if I can create two fucking online accounts with the same email?|create_account|medium_priority
I don't want my fucking profile, what do I have to do to delete it?|delete_account|standard_priority
could u ask an agent how I can modify my fucking purchase?|change_order|high_priority
please, could you tell me if i could modify my fucking purchase?|change_order|high_priority
ask an agent to show me the fucking cancellation fees, please|check_cancellation_fee|medium_priority
can you give me information about my fucking invoice?|check_invoices|standard_priority
do you mind asking an agent how to get some fucking bills, please?|get_invoice|standard_priority
please, could you tell me if i could register several fucking online accounts with the same email address?|create_account|high_priority
could you ask an agent if I could report a fucking payment issue, please?|payment_issue|medium_priority
ask an agent if I can place a fucking order|place_order|medium_priority
could you ask an agent how to solve fucking problems with my payment, please?|payment_issue|medium_priority
can you ask an agent how I can report fucking issues with my payment?|payment_issue|medium_priority
can u find information about the fucking mail address of the Customer Support , please?|contact_customer_service|medium_priority
I'd like to modify my fucking order, could you tell me where I can do it?|change_order|standard_priority
can u ask an agent where i can inform of a fucking payment problem , please?|payment_issue|high_priority
the concert was postponed and i want to geta fucking refund|get_refund|high_priority
i want assistance to file a fucking consumer reclamation|complaint|high_priority
please, ask an agent if i can solve a fucking problem with my payment|payment_issue|high_priority
ask an agent  how to inform of a fucking problem paying|payment_issue|medium_priority
I made a mistake, can i modify my fucking order?|change_order|high_priority
u are not helping, what do i have to do to talk to a fucking person?|contact_human_agent|high_priority
can u ask an agent if i could write a fucking review, please?|review|high_priority
could you ask an agent where I can create a fucking online account?|create_account|medium_priority
I haven't got a fucking user account, help me create one|create_account|standard_priority
could you tell me if I could create two fucking accounts with the same email, please?|create_account|medium_priority
could you tell me if i could create two fucking user accounts with a single email, please?|create_account|high_priority
you arent helping and i want to speak with a fucking human agent, please|contact_human_agent|high_priority
could u ask an agent how to track my fucking shipments, please?|track_order|high_priority
do you mind asking an agent how to request some fucking invoices, please?|get_invoice|medium_priority
ask an agent how to inform of fucking issues paying, please|payment_issue|medium_priority
ask an agent how i can inform of fucking problems making a payment|payment_issue|high_priority
do you mind asking an agent how to track my fucking order, plase?|track_order|standard_priority
i cant understand you , contact fucking someone|contact_human_agent|high_priority
my fucking account  was hacked, hepl me get it back|recover_password|high_priority
the fucking concert was postponed, help me get a reimbursement|get_refund|standard_priority
please, I made a mistake, could u ask an agent to modify my fucking order?|change_order|high_priority
the fucking game was postponed, what should i do to obtain a refund?|get_refund|standard_priority
i cant remember my fucking password and id like to retrieve it|recover_password|high_priority
id like to get a fucking bill, can you tell me where to do it, please?|get_invoice|standard_priority
please, could you ask an agent where I can report a fucking issue paying?|payment_issue|medium_priority
please, speak with fucking client service|contact_customer_service|medium_priority
please, could you ask an agent how to report a fucking issue making a payment?|payment_issue|medium_priority
please, could u ask an agent where i could track my fucking purchase?|track_order|high_priority
i have no fucking user account and id like to create one|create_account|high_priority
can you ask an agent to inform of a fucking issue paying?|payment_issue|medium_priority
i have no fucking account, what should i do?|create_account|high_priority
please, could you ask an agent what the fucking email address of the Client Service?|contact_customer_service|medium_priority
ask an agent how i can report fucking problems with my payment|payment_issue|high_priority
ask an agent where to make a fucking complaint for a service, please|complaint|medium_priority
please, can u show me the fucking email of the Customer Service?|contact_customer_service|high_priority
where do I write a fucking opinion ?|review|medium_priority
can you ask an agent how I can reset my fucking password?|recover_password|standard_priority
how can I notify a fucking issue making a payment?|payment_issue|medium_priority
can u show me the fucking email address of the Client Service ?|contact_customer_service|high_priority
ive got no fucking online account, i need help registering|create_account|high_priority
could u askan agent ohw to check their fucking money back guarantee?|check_refund_policy|high_priority
my fucking profile was hacked, what should i do to get it back?|recover_password|high_priority
please, could you ask an agent how to view the fucking cancellation penalties?|check_cancellation_fee|medium_priority
do you mind asking an agent where I could get a fucking invoice, please?|get_invoice|standard_priority
my fucking account's been hacked, how do I reocver it?|recover_password|standard_priority
could u ask an agent how i can leave a fucking review, please?|review|high_priority
i cat understand you, what should i do to speak with a fucking person?|contact_human_agent|high_priority
ploease, can you ask an agnet how I can check my fucking orders?|track_order|standard_priority
could u ask an agent how i can view their fucking payment options?|check_payment_methods|high_priority
please, could you ask an agent if I can inform of a fucking payment issue?|payment_issue|medium_priority
could u ask an agent what the fucking number to contact customer service is?|contact_customer_service|high_priority
please, ask an agent where to file a fucking consumer complaint|complaint|medium_priority
please, ask an agent where I could inform of a fucking payment problem|payment_issue|medium_priority
please, can you ask an agent how to get a fucking reimbursement?|get_refund|standard_priority
could you ask an agent to notify fucking issues paying?|payment_issue|medium_priority
someone stole my fucking password, retrieve it, please|recover_password|medium_priority
please, could u ask an agent if I could check my fucking package?|track_order|high_priority
can you ask an agent where I could notify a fucking problem with  my payment, please?|payment_issue|medium_priority
id like information about changing my fucking order|change_order|medium_priority
where can i obtain a fucking reimbursement?|get_refund|standard_priority
please, could you ask an agent to inform of fucking problems making a payment?|payment_issue|medium_priority
could you ask an agent to delete my fucking account, please?|delete_account|medium_priority
please, i wanna know if i could request some fucking bills|get_invoice|high_priority
I want to know if I can register more than one fucking profile with a single email address, please|create_account|standard_priority
could u ask an agent where i could obtain a fucking refund?|get_refund|high_priority
please , ask an agent to show me information about their fucking money back policy|check_refund_policy|medium_priority
i'd like to download some fucking bills , can you give me some information?, please|get_invoice|high_priority
please, could u ask an agent to speak with fucking customer service?|contact_customer_service|medium_priority
please, do you mind asking an agent if my fucking shipment is out for delivery?|track_order|standard_priority
i cant understand you and i wanna speak with a fucking human agent, please|contact_human_agent|high_priority
i dont want my fucking profile, how could i close it?|delete_account|high_priority
please, ask an agent if I could notify fucking payment problems|payment_issue|medium_priority
please, can u ask an agent if I could get a fucking invoice?|get_invoice|high_priority
could u ask an agent how i could inform of a fucking payment problem?|payment_issue|high_priority
could u ask an agent to give me information about the fucking delivery options, please?|delivery_options|medium_priority
could u ask an agent where to track my fucking order?|track_order|high_priority
could you tell me how to nkow where my fucking package is, please?|track_order|standard_priority
can u ask an agent where i could make a fucking order?|place_order|high_priority
the fucking game was cancelled, what do i have to do?|get_refund|high_priority
I wsnt to know f I can create more than one fucking account with a single email|create_account|high_priority
I bought something, what do I have to do to modify my fucking order?|change_order|standard_priority
ask an agent what the fucking email address of client setvice is|contact_customer_service|medium_priority
id like to see a fucking invoice, tell me where to do it, please|get_invoice|standard_priority
id like a fucking refund, what do i have to do?|get_refund|high_priority
please, can you ask an agent how I can report a fucking issue making a payment?|payment_issue|medium_priority
I do not want my fucking user account, what do I have to do to remove it?|delete_account|standard_priority
i want to know if i can create several fucking online accounts with the same email address|create_account|high_priority
I don't understand you, can you contact fucking someone?|contact_human_agent|standard_priority
can you tell me if i can create two fucking online accounts with the same email address?|create_account|high_priority
how could i lodge a fucking complaint?|complaint|high_priority
I do not have a fucking shipping address, how could I set it up?|set_up_shipping_address|standard_priority
i want information about the fucking email address of the Customer Support|contact_customer_service|high_priority
you're not hepling, could you contact a fucking human?|contact_human_agent|medium_priority
where to inform of fucking issues paying|payment_issue|medium_priority
can you show me the fucking mail address of Customer Support, please?|contact_customer_service|medium_priority
please , could u ask an agent where to report fucking issues making a payment?|payment_issue|high_priority
please, i wanna know if I could get some fucking bills|get_invoice|high_priority
please, can you tell me if i can register several fucking accounts with the same email address?|create_account|high_priority
i want information, can u call fucking customer support?|contact_customer_service|high_priority
I want to recover my fucking password, how could I do it?|recover_password|standard_priority
can you ask an agent where to make a fucking consumer complaint for a service, please?|complaint|medium_priority
id like information and i want to talk to fucking client service, please|contact_customer_service|high_priority
please, can u ask an agent where i could report fucking issues paying?|payment_issue|high_priority
I do not understand you, how do I contact a fucking person?|contact_human_agent|standard_priority
could u ask an agent where i can report a fucking issue making a payment?|payment_issue|high_priority
i wanna request information about downloading a fucking bill|get_invoice|high_priority
ask an agent how to report fucking payment problems|payment_issue|medium_priority
someone stole my fucking password and i wanna recover it|recover_password|high_priority
someone stole my fucking account password, reset it|recover_password|medium_priority
could you ask an agent where to make changers to my fucking shipping address?|change_shipping_address|medium_priority
ask an agent where I can see their fucking money back policy|check_refund_policy|medium_priority
could you ask an agent to find information about the fucking ticket delivery options, please?|delivery_options|medium_priority
I would like to notify a fucking problem paying|payment_issue|standard_priority
please, can you ask an agent if I could reset my fucking account password?|recover_password|standard_priority
could u ask an agent where i can notify a fucking problem making a payment, please?|payment_issue|high_priority
can you tell me if I could register several fucking profiles with the same email?|create_account|medium_priority
where to notify a fucking payment problem|payment_issue|medium_priority
the show was postponed, could I request a fuckingreimbursement?|get_refund|standard_priority
can u ask an agent how to create a fucking account?|create_account|high_priority
can u ask an agent to file a fucking consumer complaint, please?|complaint|high_priority
could you tell me if I can regitser more than one fucking account with the same email address?|create_account|standard_priority
please, ask an ahent where to make a fucking complaint|complaint|medium_priority
could you ask an agent about my fucking bill, please?|check_invoices|medium_priority
ask an agent if I can leave a fucking review|review|medium_priority
could you ask an agent where to inform of a fucking payment problem, please?|payment_issue|medium_priority
ask an agent where I can see the fucking options for delivery, please|delivery_options|medium_priority
where acn I report fucking payment issues?|payment_issue|medium_priority
could u ask an agent how i could check my fucking invoice?|check_invoices|high_priority
can you tell me if i could download a fucking bill?|get_invoice|high_priority
i would like to get information about subscribing to the fucking newsletter|newsletter_subscription|high_priority
please, ask an agent if i could change my fucking order|change_order|high_priority
please, ask an agent for information about my fucking invoice|check_invoices|medium_priority
I'd like to file a fucking consumer complaint for a service, what should I do?|complaint|standard_priority
please, could you ask an agent if I could make changes to my fucking shipping address?|change_shipping_address|standard_priority
can you ask an agent if I could download a fucking bill?|get_invoice|medium_priority
could u ask an agent for information about obtaining some fucking bills?|get_invoice|medium_priority
please, could you ask an agent to report fucking payment issues?|payment_issue|medium_priority
the show was postponed, how could I obtain a fucking refund?|get_refund|standard_priority
could youobtain a fucking bill, please?|get_invoice|medium_priority
could u find information about the fucking delivery options?|delivery_options|high_priority
could you ask an agent where to inform of fucking problems with my payment?|payment_issue|medium_priority
the game was postponed and i wanna get a fucking reimbursement, please|get_refund|high_priority
tell me if I can create more than one fucking user account with a single email address|create_account|medium_priority
the fucking show was cancelled and i wanna get a refund, please|get_refund|high_priority
please, can you ask an agent where I can inform of fucking payment problems?|payment_issue|medium_priority
id like to report a fucking problem paying|payment_issue|medium_priority
please, ask an agent where to view the fucking delivery options|delivery_options|medium_priority
I'm discontent with the service, can you file a fucking complaint, please?|complaint|standard_priority
i need help reporting fucking payment issues|payment_issue|medium_priority
i wanna see the fucking email to contact Customer Service|contact_customer_service|high_priority
can you ask an agent if I can solve fucking payment problems ?|payment_issue|medium_priority
could you tell me how I can change my fucking order, please?|change_order|standard_priority
I don't want my fucking account, how do I remove it?|delete_account|standard_priority
ask an agent how i can inform of fucking payment problems|payment_issue|high_priority
i want to view the fucking ticket delivery options, what should i do, please?|delivery_options|high_priority
I cannot understand you and I would like to speak with fucking someone, please|contact_human_agent|standard_priority
please, can you ask an agent how I could get a fucking refund?|get_refund|standard_priority
how do I inform of fucking issues paying?|payment_issue|medium_priority
please, can you tell me if i could register several fucking profiles with the same email address?|create_account|high_priority
please, ask an agent how to retrieve my fucking password|recover_password|medium_priority
I don't want my fucking online account, I need help deleting it, please|delete_account|standard_priority
I'd like to notify fucking issues with my payment|payment_issue|standard_priority
ask an agent if i could solve a fucking problem paying|payment_issue|high_priority
I bought something, could i modify my fucking purchase, please?|change_order|high_priority
please, could u show me information about the fucking delivery period for my ticket?|delivery_period|medium_priority
I'd like to close my fucking online account, where can I d it?|delete_account|standard_priority
please, could u ask an agent where to see the fucking cancellation penalties?|check_cancellation_fee|high_priority
could u ask an agent how i could notify fucking issues with my payment, please?|payment_issue|high_priority
please, i wanna get information about subscribing to the fucking newsletter|newsletter_subscription|high_priority
can you ask an agent if I could retrieve my fucking password, please?|recover_password|medium_priority
I can't change to a new fucking user account|switch_account|medium_priority
please, ask an agent to create a fucking user account|create_account|medium_priority
i want to know if i could create two fucking online accounts with a single email, please|create_account|high_priority
please, ask an agent how to remove my fucking account|delete_account|medium_priority
I forgot my fucking account password, what should I do?|recover_password|standard_priority
please, ask an agent if i could delete my fucking profile|delete_account|high_priority
I am interested in your fucking reimbursement policy, tell me about it|check_refund_policy|standard_priority
ask an agent if i can see some fucking bills, please|get_invoice|high_priority
can you tell me if I can register several fucking profiles with a single email address?|create_account|medium_priority
please, could you ask an agent if I could solve a fucking issue with my payment?|payment_issue|medium_priority
i changed my mind, i need help closing my fucking account, please|delete_account|high_priority
ask an agent if I can solve a fucking payment problem, please|payment_issue|medium_priority
i dont know what to do to talk to a fucking live agent|contact_human_agent|high_priority
i dont understand you and id like to speak with a fucking human agent|contact_human_agent|high_priority
ask an agent how i could make a fucking complaint for a service, please|complaint|high_priority
help me track my fucking shipment, please|track_order|medium_priority
please, can u ask an agent to notify a fucking problem making a payment?|payment_issue|high_priority
please, can u ask an agent where to notify fucking problems with my payment?|payment_issue|high_priority
